rtcDate,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,-116.70,-108.89,-975.59,-0.07,-3.06,-0.63,-56.55,19.65,-59.10,25.50,250.00,
01/01/2000,-112.30,-112.30,-978.52,-1.38,-0.31,-0.05,-56.40,20.25,-58.20,25.74,19.23,
01/01/2000,-113.28,-102.05,-984.38,-0.90,-3.56,2.71,-57.30,20.40,-60.30,25.65,14.71,
01/01/2000,-115.23,-94.73,-983.40,0.85,-1.62,1.42,-58.05,21.15,-57.75,25.84,13.16,
01/01/2000,-103.03,-104.49,-970.70,0.12,-2.74,-0.85,-57.15,20.25,-58.20,25.79,12.38,
01/01/2000,-111.33,-102.05,-988.28,1.81,-2.21,0.38,-57.15,20.55,-58.95,25.65,11.90,
01/01/2000,-118.16,-98.14,-966.80,-3.37,1.93,-0.53,-57.15,21.45,-58.65,25.84,11.59,
01/01/2000,-105.47,-100.59,-978.03,-1.27,-1.91,-1.21,-56.10,20.55,-59.40,25.65,11.36,
01/01/2000,-118.65,-99.61,-988.28,-1.04,-0.31,-0.95,-56.70,20.25,-58.65,26.03,11.19,
01/01/2000,-127.93,-92.29,-982.42,-2.40,3.37,-2.04,-58.20,20.25,-58.20,25.98,11.06,
01/01/2000,-105.47,-97.66,-973.14,2.16,-3.72,0.61,-57.15,20.25,-55.35,25.79,333.33,
01/01/2000,-122.56,-93.75,-965.82,1.05,-1.94,-0.14,-57.00,21.15,-57.75,26.13,19.42,
01/01/2000,-114.26,-89.84,-974.61,-0.45,-2.73,0.01,-58.95,20.55,-56.85,25.94,14.78,
01/01/2000,-113.77,-94.24,-963.38,0.45,-0.50,3.18,-57.30,19.65,-57.30,26.27,13.20,
01/01/2000,-103.52,-85.45,-975.59,-0.90,-2.94,-0.31,-56.70,21.00,-57.15,26.27,12.41,
01/01/2000,-113.28,-109.86,-979.00,-0.34,0.15,-2.23,-57.75,20.40,-57.30,26.27,11.93,
01/01/2000,-123.54,-102.05,-980.47,-0.84,-3.35,-0.50,-57.30,20.85,-56.55,26.03,11.61,
01/01/2000,-119.63,-94.73,-954.59,-1.24,-1.49,-1.05,-57.00,20.10,-56.55,25.84,11.38,
01/01/2000,-107.91,-83.98,-977.54,-0.32,0.49,-1.92,-56.70,20.55,-57.15,26.27,11.21,
01/01/2000,-120.61,-102.05,-958.50,-1.35,0.27,-2.61,-57.90,21.00,-58.95,26.13,11.07,
01/01/2000,-119.63,-86.91,-972.66,-0.06,-3.26,0.03,-57.90,19.80,-58.65,26.18,10.97,
01/01/2000,-123.54,-98.14,-973.63,0.94,-3.08,1.76,-57.90,19.50,-56.10,26.03,10.88,
01/01/2000,-120.12,-85.94,-970.21,0.58,-2.52,1.53,-56.10,21.75,-58.20,26.13,10.81,
01/01/2000,-112.79,-104.00,-974.12,-1.10,-1.47,0.80,-58.05,20.40,-58.50,26.18,10.74,
01/01/2000,-124.02,-103.03,-977.54,0.37,-4.03,1.58,-57.90,19.50,-57.90,25.94,10.69,
01/01/2000,-120.61,-97.66,-980.47,-2.95,1.16,-0.80,-56.10,20.55,-57.90,26.13,10.65,
01/01/2000,-102.54,-98.14,-966.80,-1.02,-3.00,-1.10,-58.20,20.25,-57.45,25.79,10.61,
01/01/2000,-117.19,-96.68,-976.07,-4.12,-0.51,-0.18,-57.15,21.75,-58.20,25.98,10.57,
01/01/2000,-122.56,-105.96,-989.75,-1.62,-0.58,0.15,-57.45,19.50,-57.15,26.18,10.54,
01/01/2000,-111.33,-100.10,-965.82,-1.15,1.43,-2.46,-57.30,20.40,-58.80,26.27,10.51,
01/01/2000,-136.23,-87.89,-976.07,-1.50,-0.38,-1.18,-57.30,21.15,-57.75,25.98,10.48,
01/01/2000,-115.23,-104.49,-969.24,0.54,-0.77,0.79,-56.55,19.20,-58.05,26.27,10.46,
01/01/2000,-125.00,-92.29,-974.12,-0.99,-4.27,-0.21,-57.75,20.40,-58.50,26.13,10.44,
01/01/2000,-117.19,-100.59,-978.03,0.53,-3.02,-0.59,-56.10,21.45,-58.65,25.79,10.42,
01/01/2000,-115.72,-101.56,-977.05,-0.31,-1.60,2.24,-57.90,19.50,-57.90,26.37,10.40,
01/01/2000,-116.21,-100.10,-961.43,-1.42,-2.41,1.06,-57.45,20.55,-57.90,26.03,10.38,
01/01/2000,-104.49,-96.68,-974.61,-1.05,-3.95,-2.98,-57.15,20.55,-57.15,26.13,10.37,
01/01/2000,-115.72,-109.38,-962.89,-1.05,-0.12,-1.44,-56.40,20.55,-57.15,26.18,10.36,
01/01/2000,-130.86,-104.98,-972.17,-2.95,1.58,1.33,-56.25,20.40,-58.05,26.32,10.34,
01/01/2000,-116.70,-100.10,-975.10,-1.37,0.44,-1.17,-56.70,21.00,-57.90,25.98,10.33,
01/01/2000,-126.95,-101.07,-970.70,-1.84,-0.76,-1.35,-56.70,21.00,-57.45,26.03,10.32,
01/01/2000,-104.49,-94.24,-966.31,0.56,-3.57,1.12,-58.05,19.20,-58.80,26.03,10.31,
01/01/2000,-117.68,-96.68,-968.26,-0.76,-3.44,1.08,-56.55,20.40,-57.75,25.94,10.30,
