rtcDate,aX,aY,aZ,imu_degC,output_Hz,
29/03/2023,-873.54,203.61,-460.94,25.79,333.33,
29/03/2023,-866.70,208.01,-449.71,25.98,37.04,
29/03/2023,-868.65,221.68,-455.08,25.50,28.85,
29/03/2023,-873.05,206.54,-440.92,25.94,25.97,
29/03/2023,-864.75,213.87,-450.20,25.84,24.51,
29/03/2023,-865.23,202.15,-447.75,25.94,23.62,
29/03/2023,-879.39,222.66,-446.29,25.74,23.03,
29/03/2023,-860.84,224.12,-454.59,25.98,22.60,
29/03/2023,-867.19,210.45,-454.10,26.03,22.28,
29/03/2023,-869.63,206.05,-454.59,25.84,22.03,
29/03/2023,-868.16,211.91,-446.78,25.79,21.83,
29/03/2023,-871.09,206.05,-444.34,25.94,21.66,
29/03/2023,-871.09,209.96,-450.68,25.94,21.52,
29/03/2023,-863.77,220.70,-447.75,25.94,21.41,
29/03/2023,-871.09,201.66,-459.96,25.98,21.31,
29/03/2023,-869.14,216.31,-450.68,25.94,21.22,
29/03/2023,-859.38,209.96,-442.38,25.94,21.14,
29/03/2023,-862.79,221.19,-445.31,26.03,21.08,
29/03/2023,-868.16,205.57,-455.08,25.98,21.02,
29/03/2023,-857.42,213.87,-448.24,25.94,20.96,
29/03/2023,-865.23,216.31,-453.61,25.94,20.92,
29/03/2023,-875.98,212.89,-434.57,26.18,20.87,
29/03/2023,-863.77,206.54,-449.22,26.18,20.83,
29/03/2023,-871.58,212.40,-458.01,26.03,20.80,
29/03/2023,-873.05,205.57,-450.68,26.13,20.76,
29/03/2023,-855.96,233.40,-454.59,25.98,20.73,
29/03/2023,-868.16,220.21,-444.34,26.18,20.71,
29/03/2023,-868.65,214.36,-441.41,25.98,20.68,
29/03/2023,-878.42,225.10,-454.10,25.94,20.66,
29/03/2023,-866.21,212.40,-452.64,26.32,20.63,
29/03/2023,-868.16,228.52,-438.96,26.13,20.61,
29/03/2023,-857.91,220.21,-435.06,25.94,20.59,
29/03/2023,-863.28,208.50,-448.24,25.98,20.56,
