micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
1044625,-89.36,-687.50,-688.48,0.66,1.02,6.03,-35.10,16.95,-66.30,
1064633,-90.82,-753.42,-683.11,3.79,-1.37,0.02,-36.90,13.65,-62.85,
1084641,-95.70,-733.40,-693.36,-1.65,-1.24,0.64,-35.55,17.70,-65.70,
1104650,-83.98,-700.20,-682.13,-2.67,0.56,1.47,-35.10,15.90,-65.25,
1124659,-108.89,-705.57,-692.87,3.22,-0.52,3.71,-35.25,15.60,-64.50,
1144665,-102.05,-735.84,-695.80,-3.22,0.11,-0.72,-34.50,16.50,-64.95,
1164671,-84.47,-714.84,-685.06,-4.38,-0.82,-0.56,-36.15,17.25,-65.25,
1184683,-80.08,-702.64,-679.20,-3.48,-1.69,1.54,-36.15,15.90,-62.55,
1204692,-85.94,-697.75,-683.59,-1.04,-0.55,0.90,-35.25,16.05,-65.10,
1224701,-113.77,-715.33,-706.05,0.12,0.56,-1.83,-35.10,16.20,-66.00,
1244712,-127.44,-753.42,-730.47,1.18,3.08,-4.49,-36.15,18.00,-64.95,
1264719,-109.86,-712.89,-727.05,-0.03,5.91,-4.15,-34.05,18.45,-65.25,
1284729,-100.10,-711.43,-701.17,-2.78,1.77,1.40,-33.15,17.10,-65.55,
1304734,-97.17,-705.08,-679.20,-2.29,3.07,0.64,-34.50,17.70,-65.70,
1324740,-92.77,-721.68,-675.29,-0.61,-0.23,-0.75,-34.05,16.20,-64.65,
1344746,-100.59,-722.17,-688.96,0.18,-0.26,-0.66,-35.10,17.70,-64.95,
1364754,-95.21,-697.27,-679.20,0.63,-2.34,1.54,-34.80,17.70,-63.90,
1384761,-103.52,-702.15,-694.82,6.06,-1.18,2.75,-35.10,18.75,-66.30,
1404767,-107.42,-704.59,-701.66,4.67,-1.45,1.89,-35.55,15.15,-64.95,
1424776,-80.08,-727.54,-681.15,1.22,-1.25,3.07,-34.50,17.70,-65.70,
1444784,-83.01,-733.40,-698.24,0.69,-3.47,1.47,-34.95,16.05,-64.50,
1464793,-97.66,-699.22,-723.63,0.60,-2.00,2.55,-33.60,16.35,-64.80,
1484803,-108.40,-689.45,-704.10,1.60,2.12,4.67,-35.10,16.20,-65.25,
1504812,-78.12,-711.43,-669.43,5.48,-1.88,2.34,-33.90,14.85,-65.85,
1524823,-77.64,-710.94,-671.88,3.27,0.60,-0.64,-34.05,15.90,-66.30,
1544833,-83.01,-705.57,-659.18,1.57,1.13,-2.56,-33.15,16.80,-65.55,
1564838,-79.59,-710.45,-662.60,0.66,-0.49,0.96,-34.65,16.35,-64.80,
1584850,-91.80,-725.59,-690.43,2.08,-2.60,1.82,-35.10,15.15,-64.95,
1604857,-122.07,-720.70,-714.36,-3.85,0.20,-3.66,-35.10,16.95,-63.60,
1624866,-116.21,-703.61,-701.17,-5.62,-0.79,-1.25,-34.50,17.25,-63.90,
1644878,-59.08,-492.68,-740.23,-10.00,-17.65,12.92,-34.65,16.80,-65.10,
1664889,-119.63,-646.97,-683.11,-5.97,3.10,0.58,-34.05,16.50,-65.25,
1684894,-112.30,-740.72,-694.82,-3.01,0.72,0.06,-33.60,15.30,-65.10,
1704903,-83.50,-732.91,-672.85,-5.28,0.99,-0.14,-34.05,15.45,-65.25,
1724911,-82.52,-708.01,-662.60,-0.58,0.15,-1.08,-34.20,17.10,-65.10,
1744918,-100.59,-723.14,-670.90,-1.25,-2.09,-0.73,-33.60,16.80,-65.55,
1764930,-124.51,-710.45,-691.41,-4.92,-3.47,2.03,-33.75,15.45,-66.00,
1784936,-93.75,-702.64,-675.78,-2.46,-6.60,1.94,-33.75,15.45,-66.75,
1804946,-109.86,-722.17,-702.64,8.32,-5.82,-0.50,-34.50,16.20,-65.25,
1824958,-128.91,-728.03,-710.45,1.98,-0.26,-2.26,-31.95,16.95,-65.70,
1844965,-129.39,-722.66,-722.17,1.47,-0.37,0.55,-33.00,15.45,-66.00,
1864975,-137.21,-717.29,-734.38,3.68,-1.94,-3.42,-32.55,16.05,-66.15,
1884981,-104.00,-686.52,-699.22,2.53,-0.96,-0.21,-33.30,16.95,-66.75,
1904989,-103.03,-660.16,-668.95,1.34,-4.87,-2.38,-32.85,16.80,-65.85,
1924998,-106.93,-720.21,-672.85,9.76,-2.87,-2.14,-33.60,15.30,-66.15,
1945006,-119.63,-708.01,-676.27,4.41,-3.42,-0.35,-34.20,16.05,-65.55,
